date,Tipo,Volume,Price,Retorno,Saldo,Dummy,Open,High,Low,Close,Tick,Vol
2019-10-21 17:00:01,sell,19,106685,2006,1125964,1,106685.0,106690.0,106680.0,106685.0,68,241
2019-10-24 16:57:00,buy,19,107815,1218,1127182,1,107810.0,107810.0,107805.0,107810.0,23,65
2019-10-24 17:00:01,buy,19,107755,1446,1128628,1,107765.0,107785.0,107755.0,107775.0,279,1176
2019-10-28 16:57:00,sell,19,108870,2044,1130672,1,108870.0,108870.0,108855.0,108860.0,191,674
2019-10-28 17:00:01,sell,19,108820,1854,1132526,1,108820.0,108825.0,108815.0,108820.0,64,261
2019-10-30 12:08:43,buy,38,107675,-2238,1130288,0,107645.0,107645.0,107640.0,107645.0,49,223
2019-10-30 16:57:00,sell,19,108965,3993,1134281,1,108965.0,108965.0,108960.0,108965.0,42,158
2019-10-30 17:00:01,sell,19,109030,4240,1138521,1,109025.0,109025.0,109020.0,109025.0,43,155
2019-11-01 15:24:08,sell,38,108410,-2464,1136057,0,108520.0,108535.0,108520.0,108530.0,88,419
2019-11-05 12:00:13,buy,38,109530,-2218,1133839,0,109515.0,109540.0,109515.0,109535.0,650,2274
2019-11-05 16:57:00,sell,19,109125,-540,1133299,0,109125.0,109125.0,109125.0,109125.0,10,55
2019-11-05 17:00:01,sell,19,109015,-958,1132341,0,109025.0,109025.0,109015.0,109020.0,92,376
2019-11-08 11:59:06,sell,38,108595,-2296,1130045,0,108940.0,108940.0,108885.0,108890.0,723,2587
2019-11-08 16:57:00,buy,19,107775,4562,1134607,1,107770.0,107770.0,107760.0,107765.0,37,130
2019-11-08 17:00:01,buy,19,107920,4011,1138618,1,107920.0,107920.0,107910.0,107920.0,81,342
2019-11-12 16:57:00,buy,19,107165,1674,1140292,1,107160.0,107165.0,107155.0,107165.0,26,67
2019-11-12 17:00:01,buy,19,107255,1332,1141624,1,107260.0,107280.0,107255.0,107280.0,156,725
2019-11-14 16:57:00,sell,19,106965,1227,1142851,1,106965.0,106970.0,106965.0,106965.0,13,29
2019-11-14 17:00:01,sell,19,106965,1227,1144078,1,106960.0,106960.0,106955.0,106960.0,25,71
2019-11-19 16:57:00,buy,19,106065,3175,1147253,1,106060.0,106065.0,106055.0,106060.0,39,209
2019-11-19 17:00:01,buy,19,106020,3346,1150599,1,106020.0,106020.0,106015.0,106015.0,44,158
2019-11-25 16:57:00,sell,19,108790,106,1150705,1,108790.0,108795.0,108790.0,108795.0,19,66
2019-11-25 17:00:01,sell,19,108830,258,1150963,1,108830.0,108830.0,108820.0,108820.0,111,414
2019-11-28 16:57:00,sell,19,108520,1979,1152942,1,108520.0,108520.0,108515.0,108520.0,20,53
2019-11-28 17:00:01,sell,19,108530,2017,1154959,1,108525.0,108525.0,108520.0,108520.0,20,58
2019-12-02 16:57:00,sell,19,109335,515,1155474,1,109335.0,109335.0,109330.0,109330.0,50,176
2019-12-02 17:00:01,sell,19,109320,458,1155932,1,109330.0,109335.0,109325.0,109330.0,169,551
2019-12-04 16:57:00,sell,19,110305,1903,1157835,1,110305.0,110310.0,110305.0,110305.0,18,85
