date,Tipo,Volume,Price,SL,TP,Saldo,Price Vol,Scaled Price Return,Retorno,Dummy,Open,High,Low,Close,Tick,Vol,Returns,Scaled Returns,Proba Returns,Candle Size,MM20,MM10,MM5,MM2
2019-08-21 16:57:00,sell,19,102090,100655,103555,1117372,0.0134,0.662522335,4343,1,102090.0,102095.0,102085.0,102090.0,80,355,0.013652385444074865,-0.04387610657508834,0.39932646970460567,10.0,15.25,23.0,14.0,17.5
2019-08-21 17:00:01,sell,19,102085,100655,103555,1121696,0.0,-0.035349889,4324,1,102085.0,102090.0,102070.0,102075.0,100,316,-0.00014692918013517486,-0.04387610657508834,0.39932646970460567,20.0,15.75,24.5,15.0,15.0
2019-09-02 15:17:20,buy,38,101920,101915,99015,1119458,-0.0016,-0.11667384,-2238,0,101800.0,101800.0,101795.0,101795.0,6,18,-0.0027430810678422727,-0.04387610657508834,0.39932646970460567,5.0,15.75,24.0,15.0,12.5
2019-09-03 11:06:14,sell,38,101420,101435,104335,1117124,-0.0049,-0.287357029,-2334,0,101560.0,101565.0,101530.0,101535.0,162,1069,-0.0025541529544673117,-0.04387610657508834,0.39932646970460567,35.0,17.25,26.0,19.0,20.0
2019-09-03 15:51:14,sell,38,100510,100520,103420,1114828,-0.009,-0.498370663,-2296,0,100570.0,100575.0,100565.0,100570.0,86,275,-0.009504111882602058,-0.04387610657508834,0.39932646970460567,10.0,17.25,17.5,16.0,22.5
2019-09-04 16:01:10,buy,38,101600,101580,98680,1112516,0.0108,0.529891443,-2312,0,101555.0,101560.0,101550.0,101555.0,81,282,0.00979417321268768,-0.04387610657508834,0.39932646970460567,10.0,17.5,15.0,16.0,10.0
2019-09-05 15:07:10,sell,38,103025,102645,105545,1113244,0.014,0.694939176,728,1,103090.0,103100.0,103090.0,103090.0,70,259,0.015114962335680174,-0.04387610657508834,0.39932646970460567,10.0,17.75,14.5,14.0,10.0
2019-09-09 13:25:32,sell,38,104245,104245,107145,1111024,0.0118,0.581627796,-2220,0,104275.0,104275.0,104270.0,104275.0,36,173,0.011494810359879717,-0.04387610657508834,0.39932646970460567,5.0,17.25,14.5,14.0,7.5
2019-09-09 16:57:00,buy,19,103735,103790,100890,1110133,-0.0049,-0.286657201,-891,0,103730.0,103740.0,103725.0,103740.0,67,282,-0.005130664109326301,-0.04387610657508834,0.39932646970460567,15.0,17.75,14.5,10.0,10.0
2019-09-09 17:00:01,buy,19,103760,103790,100890,1109147,0.0002,-0.02030391,-986,0,103755.0,103760.0,103750.0,103750.0,81,362,9.63948332369385e-05,-0.04387610657508834,0.39932646970460567,10.0,17.75,13.0,10.0,12.5
2019-09-11 10:46:03,buy,38,104200,104195,101295,1107089,0.0042,0.187221646,-2058,0,104160.0,104165.0,104155.0,104165.0,143,444,0.004,-0.04387610657508834,0.39932646970460567,10.0,18.0,13.0,10.0,10.0
2019-09-11 12:14:16,sell,38,104195,104200,107100,1104831,0.0,-0.03529843,-2258,0,104200.0,104205.0,104195.0,104205.0,214,585,0.00038400614409830555,-0.04387610657508834,0.39932646970460567,10.0,18.25,12.0,10.0,10.0
2019-09-11 16:57:00,buy,19,104035,104310,101410,1104786,-0.0015,-0.112485623,-45,0,104030.0,104035.0,104025.0,104035.0,51,217,-0.0016313996449306655,-0.04387610657508834,0.39932646970460567,10.0,18.25,12.5,11.0,10.0
2019-09-11 17:00:01,buy,19,104040,104310,101410,1104722,0.0,-0.030314909,-64,0,104030.0,104035.0,104025.0,104035.0,77,357,0.0,-0.04387610657508834,0.39932646970460567,10.0,18.0,10.0,10.0,10.0
2019-09-13 16:57:00,buy,19,103825,105185,102285,1108810,-0.0021,-0.140034092,4088,1,103820.0,103835.0,103820.0,103825.0,54,292,-0.0020185514490315758,-0.04387610657508834,0.39932646970460567,15.0,14.0,10.5,11.0,12.5
2019-09-13 17:00:01,buy,19,103840,105185,102285,1112841,0.0001,-0.025312307,4031,1,103825.0,103835.0,103825.0,103830.0,70,301,4.815795810257645e-05,-0.04387610657508834,0.39932646970460567,10.0,12.75,10.5,11.0,12.5
2019-09-17 16:57:00,sell,19,104930,103495,106395,1117194,0.0105,0.511846457,4353,1,104930.0,104935.0,104930.0,104935.0,17,40,0.010642396224597901,-0.04387610657508834,0.39932646970460567,5.0,12.25,10.0,10.0,7.5
2019-09-17 17:00:01,sell,19,104955,103495,106395,1121642,0.0002,-0.02044632,4448,1,104975.0,104975.0,104955.0,104965.0,145,815,0.00028589126602182304,-0.04387610657508834,0.39932646970460567,20.0,13.0,11.5,12.0,12.5
2019-09-19 11:10:14,sell,38,105835,105835,108735,1119442,0.0084,0.40224148,-2200,0,105870.0,105880.0,105865.0,105875.0,160,449,0.008669556518839614,-0.04387610657508834,0.39932646970460567,15.0,13.0,11.5,13.0,17.5
2019-09-19 16:57:00,buy,19,104745,105775,102875,1122256,-0.0103,-0.567196943,2814,1,104740.0,104740.0,104730.0,104735.0,40,140,-0.01076741440377804,-0.04387610657508834,0.39932646970460567,10.0,12.25,11.5,12.0,12.5
2019-09-19 17:00:01,buy,19,104660,105775,102875,1125393,-0.0008,-0.074914779,3137,1,104675.0,104680.0,104665.0,104670.0,117,573,-0.0006206139303957608,-0.04387610657508834,0.39932646970460567,15.0,12.5,12.0,13.0,12.5
